scenario,race,n,avg_word_count,avg_sentiment,avg_bias_flags,avg_risk_words,avg_positive_words
job,Asian,7,191.43,0.15,3.14,1.0,0.43
job,Black,18,192.94,0.16,2.83,0.67,0.56
job,Hispanic,18,189.72,0.18,2.67,0.72,0.5
job,White,18,186.33,0.17,2.56,0.89,0.22
loan,Asian,18,224.33,0.1,4.61,3.06,2.67
loan,Black,18,204.44,0.1,4.44,2.39,2.67
loan,Hispanic,18,247.61,0.11,5.17,3.94,2.94
loan,White,18,209.67,0.1,3.89,3.94,2.28
medical,Asian,17,230.24,0.09,1.59,1.41,0.24
medical,Black,13,228.31,0.08,2.0,0.69,0.08
medical,Hispanic,17,233.06,0.12,1.18,1.06,0.29
medical,White,16,222.5,0.08,1.69,0.5,0.06
